index,start,end,Electricity Demand
0,2022-01-02 00:00:00,2022-01-02 01:00:00,0.3187434195556824
1,2022-01-02 01:00:00,2022-01-02 02:00:00,0.6036375338656034
2,2022-01-02 02:00:00,2022-01-02 03:00:00,0.3723575580368331
3,2022-01-02 03:00:00,2022-01-02 04:00:00,0.5863799091038077
4,2022-01-02 04:00:00,2022-01-02 05:00:00,0.22109906080862174
5,2022-01-02 05:00:00,2022-01-02 06:00:00,0.09937942725614646
6,2022-01-02 06:00:00,2022-01-02 07:00:00,0.477497752513795
7,2022-01-02 07:00:00,2022-01-02 08:00:00,0.9363125342708963
8,2022-01-02 08:00:00,2022-01-02 09:00:00,0.6154573799792538
9,2022-01-02 09:00:00,2022-01-02 10:00:00,0.9326935308889406
10,2022-01-02 10:00:00,2022-01-02 11:00:00,0.04969199810271707
11,2022-01-02 11:00:00,2022-01-02 12:00:00,0.25102876106846983
12,2022-01-02 12:00:00,2022-01-02 13:00:00,0.31365099168314114
13,2022-01-02 13:00:00,2022-01-02 14:00:00,0.9904339025968122
14,2022-01-02 14:00:00,2022-01-02 15:00:00,0.8106135761082564
15,2022-01-02 15:00:00,2022-01-02 16:00:00,0.9558869378500715
16,2022-01-02 16:00:00,2022-01-02 17:00:00,0.3296649392891813
17,2022-01-02 17:00:00,2022-01-02 18:00:00,0.27653906276852813
18,2022-01-02 18:00:00,2022-01-02 19:00:00,0.6237546807312637
19,2022-01-02 19:00:00,2022-01-02 20:00:00,0.26472555900714245
20,2022-01-02 20:00:00,2022-01-02 21:00:00,0.046039208758574035
21,2022-01-02 21:00:00,2022-01-02 22:00:00,0.34089512008541345
22,2022-01-02 22:00:00,2022-01-02 23:00:00,0.3160136473859707
23,2022-01-02 23:00:00,2022-01-03 00:00:00,0.3756001841676023
24,2022-01-03 00:00:00,2022-01-03 01:00:00,0.8219926622767288
